reaction formula,dG0_prime,dGm_prime,deltaGpH72,mMdeltaGpH72
23cump_p + h2o_p --> 3ump_p + h_p,-35.5222763126,-35.5222763126,-6.9,-6.9
23ccmp_p + h2o_p --> 3cmp_p + h_p,-35.1076358632,-35.1076358632,-6.9,-6.9
23camp_p + h2o_p --> 3amp_p + h_p,-35.1124107694,-35.1124107694,-6.9,-6.9
23cgmp_p + h2o_p --> 3gmp_p + h_p,-35.095454686,-35.095454686,-6.9,-6.9
2dhglcn_c + h_c + nadh_c --> glcn_c + nad_c,-17.1126606465,-17.1126606465,-6.4,-6.4
2dhglcn_c + h_c + nadph_c --> glcn_c + nadp_c,-18.0894260163,-18.0894260163,-6.7,-6.7
2mahmp_c + h2o_c --> 4ampm_c + h_c + pi_c,-23.433978235,-40.5488157697,-6.5,-10.6
3hcinnm_c + h_c + nadh_c + o2_c --> dhcinnm_c + h2o_c + nad_c,-440.193277048,-415.892276873,-96,-90.2
3hpppn_c + h_c + nadh_c + o2_c --> dhpppn_c + h2o_c + nad_c,-440.200365842,-415.899365667,-96,-90.2
3dhguln_c + atp_c --> 3dhgulnp_c + adp_c + h_c,-15.6228661494,-15.6228661494,-3.8,-3.8
3ump_p + h2o_p --> pi_p + uri_p,-12.948524176,-30.0633617108,-2.8,-6.9
3cmp_p + h2o_p --> cytd_p + pi_p,-21.0309852316,-38.1458227663,-2.8,-6.9
3amp_p + h2o_p --> adn_p + pi_p,-15.2950312079,-32.4098687426,-2.8,-6.9
3gmp_p + h2o_p --> gsn_p + pi_p,-11.5912101476,-28.7060476823,-2.8,-6.9
h2o_c + phthr_c --> 4hthr_c + pi_c,-13.8574761354,-30.9723136702,-2.8,-6.9
5dglcn_c + h_c + nadph_c <=> glcn_c + nadp_c,-25.1951311358,-25.1951311358,-4.2,-4.2
ru5p__D_c <=> ara5p_c,-2.62340301415,-2.62340301415,1.4,1.4
4abut_c + akg_c --> glu__L_c + sucsal_c,6.09339025493,6.09339025493,-1.1,-1.1
4abutn_c + h2o_c + nad_c --> 4abut_c + 2.0 h_c + nadh_c,-49.9110189071,-49.9110189071,-9.4,-9.4
acac_c + accoa_c --> aacoa_c + ac_c,5.72599549805,5.72599549805,-1.5,-1.5
2.0 accoa_c <=> aacoa_c + coa_c,26.1274139601,26.1274139601,7.1,7.1
acald_c + coa_c + nad_c <=> accoa_c + h_c + nadh_c,-18.1357450564,-1.02090752169,-4.4,-0.3
accoa_c + anth_c --> acanth_c + coa_c,-18.154234871,-18.154234871,-4.3,-4.3
accoa_c + atp_c + hco3_c --> adp_c + h_c + malcoa_c + pi_c,-4.53367066412,-4.53367066412,-0.9,-0.9
atp_c + coa_c + ppa_c --> adp_c + pi_c + ppcoa_c,14.5883602156,14.5883602156,-1,-1
acgal1p_p + h2o_p --> acgal_p + pi_p,-21.5489878974,-38.6638254321,-2.8,-6.9
acgam1p_p + h2o_p --> acgam_p + pi_p,-19.4555716408,-36.5704091755,-2.8,-6.9
acgam_c + atp_c --> acgam6p_c + adp_c + h_c,-12.3851424466,-12.3851424466,-3.8,-3.8
uacgam_c + udcpp_c --> ump_c + unaga_c,4.41532403248,4.41532403248,0,0
acgam_p + pep_c --> acgam6p_c + pyr_c,-39.0505990648,-39.0505990648,-9.1,-9.1
acglu_c + atp_c --> acg5p_c + adp_c,30.4131757947,30.4131757947,2.7,2.7
accoa_c + glu__L_c --> acglu_c + coa_c + h_c,-28.8259625348,-28.8259625348,-5.2,-5.2
2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c,-20.7560850939,-20.7560850939,-10.7,-10.7
ac_c + atp_c <=> actp_c + adp_c,13.5658726067,13.5658726067,4.3,4.3
h_c + 2.0 pyr_c --> alac__S_c + co2_c,-31.1124559362,-31.1124559362,-10.7,-10.7
acmum6p_c + h2o_c --> acgam6p_c + lac__D_c,-5.92054075096,-23.0353782857,-3.3,-7.4
acmana_p + pep_c --> acmanap_c + pyr_c,-40.5985260782,-40.5985260782,-9.1,-9.1
acmum_p + pep_c --> acmum6p_c + pyr_c,-42.2390060492,-42.2390060492,-9.1,-9.1
acnam_c --> acmana_c + pyr_c,7.86199450215,-9.25284303258,1,-3.1
btcoa_c + fad_c <=> b2coa_c + fadh2_c,41.0995812733,41.0995812733,12.7,12.7
fad_c + hxcoa_c <=> fadh2_c + hx2coa_c,46.2960062,46.2960062,12.7,12.7
fad_c + occoa_c <=> fadh2_c + oc2coa_c,47.4214904897,47.4214904897,12.7,12.7
dcacoa_c + fad_c <=> dc2coa_c + fadh2_c,47.4214904897,47.4214904897,12.7,12.7
ddcacoa_c + fad_c <=> dd2coa_c + fadh2_c,47.4214904897,47.4214904897,12.7,12.7
fad_c + tdcoa_c <=> fadh2_c + td2coa_c,47.4214904897,47.4214904897,12.7,12.7
fad_c + pmtcoa_c <=> fadh2_c + hdd2coa_c,49.5661536621,49.5661536621,12.7,12.7
fad_c + stcoa_c <=> fadh2_c + od2coa_c,47.4214904897,47.4214904897,12.7,12.7
acorn_c + h2o_c --> ac_c + orn_c,0.695005891995,-16.4198316427,-1.9,-6
acon_T_c <=> acon_C_c,3.68417592367,3.68417592367,0,0
cit_c <=> acon_C_c + h2o_c,8.31847347149,8.31847347149,1.5,1.5
acon_C_c + h2o_c <=> icit_c,-0.685094822505,-0.685094822505,-0.2,-0.2
acorn_c + akg_c <=> acg5sa_c + glu__L_c,-11.6704660579,-11.6704660579,-1.1,-1.1
ac_c + atp_c + coa_c --> accoa_c + amp_c + ppi_c,-5.12452599319,-5.12452599319,-0.9,-0.9
4adcho_c --> 4abz_c + h_c + pyr_c,-62.4991259221,-79.6139634568,-35.4,-39.5
chor_c + gln__L_c --> 4adcho_c + glu__L_c,-16.2731696597,-16.2731696597,-7.5,-7.5
amp_c + atp_c <=> 2.0 adp_c,-2.13852223538,-2.13852223538,-0.1,-0.1
amp_c + gtp_c <=> adp_c + gdp_c,0.347793540401,0.347793540401,-0.3,-0.3
amp_c + itp_c <=> adp_c + idp_c,-5.85698346639,-5.85698346639,-0.1,-0.1
amet_c + h_c --> ametam_c + co2_c,-21.1801789493,-38.295016484,-3.3,-7.4
atp_c --> camp_c + ppi_c,6.33691813163,-10.7779194031,0.5,-3.6
adn_c + atp_c --> adp_c + amp_c + h_c,-13.1799485524,-13.1799485524,-3.8,-3.8
adn_c + h2o_c --> ade_c + rib__D_c,-4.84198088443,-21.9568184191,-0.8,-4.9
adocbl_p + atp_c + h2o_c --> adocbl_c + adp_c + h_c + pi_c,-27.1877516043,-44.3025891391,0.1,-4
adprib_c + h2o_c --> amp_c + 2.0 h_c + r5p_c,-26.0987393776,-43.2135769123,-8.4,-12.5
ade_c + prpp_c --> amp_c + ppi_c,-17.7668882415,-17.7668882415,-3.3,-3.3
aps_c + atp_c --> adp_c + h_c + paps_c,-14.6944582826,-14.6944582826,-3.8,-3.8
dcamp_c <=> amp_c + fum_c,10.1419357402,-6.9729017945,7.7,3.6
25aics_c <=> aicar_c + fum_c,12.5274383028,-4.58739923193,7.7,3.6
asp__L_c + gtp_c + imp_c --> dcamp_c + gdp_c + 2.0 h_c + pi_c,9.53029391137,9.53029391137,-3.1,-3.1
acgam6p_c + h2o_c --> ac_c + gam6p_c,-7.1239046943,-24.238742229,-1.9,-6
agm_c + h2o_c --> ptrc_c + urea_c,-57.6791075028,-74.7939450375,-4.7,-8.8
acg5sa_c + nadp_c + pi_c <=> acg5p_c + h_c + nadph_c,6.46064537385,23.5754829086,0.2,4.3
ahcys_c + h2o_c --> ade_c + rhcys_c,-14.8197030029,-31.9345405376,-0.8,-4.9
10fthf_c + aicar_c <=> fprica_c + thf_c,6.77045594769,6.77045594769,-6.2,-6.2
air_c + atp_c + hco3_c --> 5caiz_c + adp_c + h_c + pi_c,-63.7850183264,-63.7850183264,9.2,9.2
5aizc_c <=> 5caiz_c,-37.9803331997,-37.9803331997,0,0
akg_c + coa_c + nad_c --> co2_c + nadh_c + succoa_c,-27.2405304053,-27.2405304053,-8.3,-8.3
alaala_c + h2o_c --> 2.0 ala__D_c,-2.10138361506,-19.2162211498,-0.4,-4.5
alaala_p + atp_c + h2o_c --> adp_c + alaala_c + h_c + pi_c,-27.1877516043,-44.3025891391,-6.6,-10.7
2.0 ala__D_c + atp_c <=> adp_c + alaala_c + h_c + pi_c,-25.0863679893,-25.0863679893,-6.2,-6.2
ala__L_c <=> ala__D_c,-0.0390694996343,-0.0390694996343,0,0
ala__D_c + pydx5p_c --> pyam5p_c + pyr_c,1.28035816791,1.28035816791,2.5,2.5
akg_c + ala__L_c <=> glu__L_c + pyr_c,-0.222215949035,-0.222215949035,0,0
ala__L_c + pydx5p_c --> pyam5p_c + pyr_c,1.24128866827,1.24128866827,2.5,2.5
ala__L_p + atp_c + h2o_c --> adp_c + ala__L_c + h_c + pi_c,-27.1877516043,-44.3025891391,-6.6,-10.7
glyald_c + h_c + nadh_c <=> glyc_c + nad_c,-38.4338813438,-38.4338813438,-5.4,-5.4
etoh_c + nad_c <=> acald_c + h_c + nadh_c,20.5342935456,20.5342935456,6,6
acald_c + h2o_c + nad_c --> ac_c + 2.0 h_c + nadh_c,-49.2578685038,-49.2578685038,-11.5,-11.5
acald_c + h2o_c + nadp_c --> ac_c + 2.0 h_c + nadph_c,-48.281103134,-48.281103134,-11.3,-11.3
h2o_c + nadp_c + ppal_c --> 2.0 h_c + nadph_c + ppa_c,-50.6851306879,-50.6851306879,-9.2,-9.2
btal_c + h2o_c + nad_c --> but_c + 2.0 h_c + nadh_c,-44.0267638548,-44.0267638548,-9.4,-9.4
all__D_c + atp_c --> adp_c + all6p_c + h_c,-9.89625103803,-9.89625103803,-3.8,-3.8
alltn_c + h2o_c --> alltt_c + h_c,-55.7156633786,-55.7156633786,-3.8,-3.8
all__D_p + atp_c + h2o_c --> adp_c + all__D_c + h_c + pi_c,-27.1877516043,-44.3025891391,-6.6,-10.7
h_c + mthgxl_c + nadph_c --> acetol_c + nadp_c,-20.2800104153,-20.2800104153,-8.1,-8.1
acetol_c + h_c + nadh_c --> 12ppd__R_c + nad_c,-19.5001997682,-19.5001997682,-3.9,-3.9
altrn_c --> 2ddglcn_c + h2o_c,-37.429339158,-37.429339158,-10.7,-10.7
malt_c + malttr_c --> glc__D_c + maltttr_c,-1.16793972517,-1.16793972517,0,0
malt_c + maltttr_c --> glc__D_c + maltpt_c,-1.16793157498,-1.16793157498,0,0
malt_c + maltpt_c --> glc__D_c + malthx_c,-1.16793249752,-1.16793249752,0,0
malt_c + malthx_c --> glc__D_c + malthp_c,-1.16793346386,-1.16793346386,0,0
acmanap_c <=> acgam6p_c,-2.17530559336,-2.17530559336,0,0
acmana_c + atp_c --> acmanap_c + adp_c + h_c,-13.93306946,-13.93306946,-3.8,-3.8
air_c + h2o_c + nad_c --> 4ampm_c + 2.0 for_c + 3.0 h_c + nadh_c,-242.997715996,-277.227391065,-41.1,-49.3
amp_c + h2o_c --> ade_c + r5p_c,-19.3250171706,-36.4398547053,-0.8,-4.9
cgly_c + h2o_c --> cys__L_c + gly_c,6.62244920479,-10.4923883299,-0.4,-4.5
anth_c + prpp_c --> ppi_c + pran_c,-55.1120043396,-55.1120043396,-11.3,-11.3
chor_c + gln__L_c --> anth_c + glu__L_c + h_c + pyr_c,-78.7740782211,-95.8889157558,-42.9,-47
2aobut_c + h_c --> aact_c + co2_c,-18.2334233769,-35.3482609116,-3.4,-7.5
ala__L_c + h_c + pmcoa_c <=> 8aonn_c + co2_c + coa_c,17.5478086584,0.432971123695,2,-2.1
ap4a_c + h2o_c --> 2.0 adp_c + 2.0 h_c,-37.3918373061,-54.5066748409,-8.4,-12.5
5apru_c + h_c + nadph_c --> 5aprbu_c + nadp_c,-26.3283531813,-26.3283531813,-3.7,-3.7
arab__L_c <=> rbl__L_c,15.3378411734,15.3378411734,-0.8,-0.8
arbtn_fe3_p + atp_c + h2o_c --> adp_c + arbtn_fe3_c + h_c + pi_c,-27.1877516043,-44.3025891391,0.1,-4
arab__L_p + atp_c + h2o_c --> adp_c + arab__L_c + h_c + pi_c,-27.1877516043,-44.3025891391,-6.6,-10.7
arg__L_c + h_c --> agm_c + co2_c,-13.8585250074,-30.9733625422,-3.3,-7.4
arg__L_p + h_p --> agm_p + co2_p,-13.8585250074,-30.9733625422,-3.3,-7.4
argsuc_c <=> arg__L_c + fum_c,12.4695342977,-4.64530323703,7.7,3.6
asp__L_c + atp_c + citr__L_c --> amp_c + argsuc_c + h_c + ppi_c,-0.083053521115,-0.083053521115,0.8,0.8
arg__L_p + atp_c + h2o_c --> adp_c + arg__L_c + h_c + pi_c,-27.1877516043,-44.3025891391,-6.6,-14.2
aspsa_c + nadp_c + pi_c <=> 4pasp_c + h_c + nadph_c,-15.796172669,1.31866486567,0.2,4.3
asp__L_c + atp_c + gln__L_c + h2o_c --> amp_c + asn__L_c + glu__L_c + h_c + ppi_c,-31.2960707265,-48.4109082612,-8,-12.1
asn__L_p + atp_c + h2o_c --> adp_c + asn__L_c + h_c + pi_c,-27.1877516043,-44.3025891391,-6.6,-10.7
aso3_c + atp_c + h2o_c --> adp_c + aso3_p + h_c + pi_c,-27.1877516043,-44.3025891391,0.1,-4
asp__L_c + h_c --> ala_B_c + co2_c,-19.8528923975,-36.9677299322,-3.3,-7.4
asp__L_c + cbp_c --> cbasp_c + h_c + pi_c,-21.5100152969,-21.5100152969,-9.3,-9.3
asp__L_c + atp_c <=> 4pasp_c + adp_c,18.4823913147,18.4823913147,2.7,2.7
asp__L_c + fum_c --> h_c + iasp_c + succ_c,1.16295458687,1.16295458687,-35.5,-35.5
asp__L_c + o2_c --> h2o2_c + h_c + iasp_c,-69.1130519069,-61.9268892663,-52.1,-50.4
akg_c + asp__L_c <=> glu__L_c + oaa_c,2.88043351589,2.88043351589,0,0
asp__L_p + atp_c + h2o_c --> adp_c + asp__L_c + h_c + pi_c,-27.1877516043,-44.3025891391,-6.6,-7.2
arg__L_c + succoa_c --> coa_c + h_c + sucarg_c,-17.7382453211,-17.7382453211,-5.2,-5.2
athr__L_c + nadp_c <=> 2aobut_c + h_c + nadph_c,18.3094928615,18.3094928615,4.3,4.3
atp_c + h2o_c --> adp_c + h_c + pi_c,-27.1877516043,-44.3025891391,-6.6,-10.7
adp_c + 4.0 h_p + pi_c <=> atp_c + h2o_c + 3.0 h_c,27.1877516043,44.3025891391,6.6,1.2
betald_c + h2o_c + nad_c --> glyb_c + 2.0 h_c + nadh_c,-38.0565322835,-38.0565322835,-9.4,-9.4
betald_c + h2o_c + nadp_c --> glyb_c + 2.0 h_c + nadph_c,-37.0797669138,-37.0797669138,-9.2,-9.2
h2o_c + pap_c --> amp_c + pi_c,-10.516121453,-27.6309589877,-2.8,-6.9
accoa_c + but_c --> ac_c + btcoa_c,4.08904102075,4.08904102075,-1.5,-1.5
2.0 h2o2_c --> 2.0 h2o_c + o2_c,-193.067638449,-183.138963555,-45.5,-43.1
atp_c + cbi_p + h2o_c --> adp_c + cbi_c + h_c + pi_c,-27.1877516043,-44.3025891391,0.1,-4
atp_c + cbl1_p + h2o_c --> adp_c + cbl1_c + h_c + pi_c,-27.1877516043,-44.3025891391,0.1,-0.5
2.0 atp_c + gln__L_c + h2o_c + hco3_c --> 2.0 adp_c + cbp_c + glu__L_c + 2.0 h_c + pi_c,-9.12480414754,-26.2396416823,-10.5,-14.6
atp_c + cd2_c + h2o_c --> adp_c + cd2_p + h_c + pi_c,-27.1877516043,-44.3025891391,-6.6,-3.7
4c2me_c + atp_c --> 2p4c2me_c + adp_c + h_c,-6.30120301865,-6.30120301865,-3.8,-3.8
atp_c + cgly_p + h2o_c --> adp_c + cgly_c + h_c + pi_c,-27.1877516043,-44.3025891391,-6.6,-10.7
atp_c + chol_p + h2o_c --> adp_c + chol_c + h_c + pi_c,-27.1877516043,-44.3025891391,-6.6,-14.2
chor_c --> pphn_c,-21.0707389811,-21.0707389811,-17.5,-17.5
3psme_c --> chor_c + pi_c,-48.2860247346,-65.4008622693,-14.2,-18.3
chor_c --> 4hbz_c + pyr_c,-88.1040407869,-105.218878322,-34.5,-38.6
cinnm_c + h_c + nadh_c + o2_c --> cenchddd_c + nad_c,-389.901385061,-365.600384886,-73.8,-68.1
cit_c --> ac_c + oaa_c,4.62899065606,-12.4858468787,1.5,-2.6
cmp_c + h2o_c --> csn_c + r5p_c,-14.2923039677,-31.4071415025,-0.9,-5
atp_c + cobalt2_c + h2o_c --> adp_c + cobalt2_p + h_c + pi_c,-27.1877516043,-44.3025891391,-6.6,-3.7
cpppg3_c + 2.0 h_c + o2_c --> 2.0 co2_c + 2.0 h2o_c + pppg9_c,-356.450313992,-366.378988886,Not calculated,Not calculated
atp_c + crn__D_p + h2o_c --> adp_c + crn__D_c + h_c + pi_c,-27.1877516043,-44.3025891391,-6.6,-10.7
atp_c + crn_p + h2o_c --> adp_c + crn_c + h_c + pi_c,-27.1877516043,-44.3025891391,-6.6,-10.7
accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c,-35.7511141034,-35.7511141034,-8.6,-8.6
atp_c + gln__L_c + h2o_c + utp_c --> adp_c + ctp_c + glu__L_c + 2.0 h_c + pi_c,-13.782226422,-30.8970639567,-6.3,-10.4
atp_c + cu2_c + h2o_c --> adp_c + cu2_p + h_c + pi_c,-27.1877516043,-44.3025891391,-6.6,-3.7
atp_c + cys__D_p + h2o_c --> adp_c + cys__D_c + h_c + pi_c,-27.1877516043,-44.3025891391,-6.6,-10.7
acser_c + h2s_c --> ac_c + cys__L_c + h_c,-49.188934068,-49.188934068,-12.5,-12.5
atp_c + cys__L_c + h2o_c --> adp_c + cys__L_p + h_c + pi_c,-27.1877516043,-44.3025891391,-6.6,-10.7
atp_c + cys__L_p + h2o_c --> adp_c + cys__L_c + h_c + pi_c,-27.1877516043,-44.3025891391,-6.6,-10.7
cytd_c + h2o_c --> csn_c + rib__D_c,1.38854540842,-15.7262921263,-0.9,-5
cytd_c + gtp_c --> cmp_c + gdp_c + h_c,-9.49581968658,-9.49581968658,-4.1,-4.1
atp_c + cmp_c <=> adp_c + cdp_c,-2.80065807229,-2.80065807229,-0.1,-0.1
atp_c + dcmp_c <=> adp_c + dcdp_c,-2.74262561219,-2.74262561219,-0.1,-0.1
atp_c + damp_c <=> adp_c + dadp_c,-0.0289341751661,-0.0289341751661,-0.1,-0.1
26dap__M_c + h_c --> co2_c + lys__L_c,-16.1301298338,-33.2449673686,-3.3,-7.4
26dap_LL_c <=> 26dap__M_c,-1.65417267623,-1.65417267623,0,0
26dap__M_p + atp_c + h2o_c --> 26dap__M_c + adp_c + h_c + pi_c,-27.1877516043,-44.3025891391,-6.6,-10.7
ru5p__D_c --> db4p_c + for_c + h_c,-82.6981182266,-99.8129557613,-20.7,-24.8
atp_c + co2_c + dann_c --> adp_c + dtbt_c + 3.0 h_c + pi_c,7.54464664529,7.54464664529,-23.9,-23.9
2dh3dgal_c + atp_c --> 2dh3dgal6p_c + adp_c + h_c,-14.5394454024,-14.5394454024,-3.8,-3.8
2ddglcn_c + atp_c --> 2ddg6p_c + adp_c + h_c,-21.4295887502,-21.4295887502,-1.3,-1.3
e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c,-69.1053542976,-69.1053542976,-12.6,-12.6
2dh3dgal6p_c <=> g3p_c + pyr_c,13.1206735447,-3.99416398999,0.7,-3.4
atp_c + dgmp_c <=> adp_c + dgdp_c,0.480004711381,0.480004711381,-0.1,-0.1
23dhmb_c --> 3mob_c + h2o_c,-35.5163536332,-35.5163536332,-6.9,-6.9
23dhmp_c --> 3mop_c + h2o_c,-35.5162353692,-35.5162353692,-6.9,-6.9
dha_c + pep_c --> dhap_c + pyr_c,-41.3728081659,-41.3728081659,-9.1,-9.1
23ddhb_c + nad_c <=> 23dhb_c + h_c + nadh_c,-27.6855381185,-27.6855381185,-8.9,-8.9
cenchddd_c + nad_c --> dhcinnm_c + h_c + nadh_c,-27.7177626502,-27.7177626502,-8.9,-8.9
dhcinnm_c + o2_c --> h_c + hkntd_c,-258.264467793,-233.963467618,-69.3,-63.6
23dhdp_c + h_c + nadph_c --> nadp_c + thdp_c,-20.4393043371,-20.4393043371,-1,-1
aspsa_c + pyr_c --> 23dhdp_c + 2.0 h2o_c + h_c,-115.60403652,-98.4891989851,-31.6,-27.5
dhf_c + h_c + nadph_c <=> nadp_c + thf_c,-25.9274140566,-25.9274140566,-0.7,-0.7
atp_c + dhpt_c + glu__L_c --> adp_c + dhf_c + h_c + pi_c,-15.7133341417,-15.7133341417,-6.2,-6.2
dhor__S_c + h2o_c <=> cbasp_c + h_c,-4.78800008578,-4.78800008578,-5.3,-5.3
cechddd_c + nad_c --> dhpppn_c + h_c + nadh_c,-27.7224182756,-27.7224182756,-8.9,-8.9
4abz_c + 6hmhptpp_c --> dhpt_c + ppi_c,-49.1582881441,-49.1582881441,-11.3,-11.3
